Rank,Count,Score,Text,Author-last,Author-first,Date
90,1048,89,The Sociological Imagination,Mills,C. Wright (Charles Wright),1916-1962
91,1048,89,The Metamorphosis,Kafka,Franz,1883-1924
92,1045,88.9,Second Treatise of Government,Locke,John,1632-1704
93,1039,88.8,Marketing Management,Kotler,Philip,
94,1038,88.7,The Metaphysics of Morals,Kant,Immanuel,1724-1804
95,1033,88.5,Doing Your Research Project A Guide for First-Time Researchers in Education and Social Science,Bell,Judith,1930
96,1032,88.4,Silent Spring,Carson,Rachel,1907-1964
97,1031,88.3,Adventures of Huckleberry Finn,Twain,Mark,1835-1910
98,1031,88.3,The Scarlet Letter,Hawthorne,Nathaniel,1804-1864
99,1021,88.2,Pedagogy of the Oppressed,Freire,Paulo,1921-1997
100,1016,88,King Lear,Shakespeare,William,1564-1616
101,1015,87.9,Artificial Intelligence A Modern Approach,Russell,Stuart J. (Stuart Jonathan),
102,996,87.8,Moby Dick,Melville,Herman,1819-1891
103,990,87.6,I Have a Dream,King,Martin Luther,1929-1968
104,989,87.5,Macroeconomics,Mankiw,N. Gregory,
105,979,87.4,The Waste Land,Eliot,T. S. (Thomas Stearns),1888-1965
106,979,87.4,Corporate Finance,Ross,Stephen A.,
107,974,87.3,To the Lighthouse,Woolf,Virginia,1882-1941
108,971,87.1,Euthyphro,Plato,,
109,969,87,Lysistrata,Aristophanes,,
110,965,86.9,Civil Disobedience,Thoreau,Henry David,1817-1862
111,960,86.8,Rhetoric,Aristotle,,
112,958,86.6,Great Expectations,Dickens,Charles,1812-1870
113,951,86.5,The Jungle,Sinclair,Upton,1878-1968
114,950,86.4,Fundamentals of Anatomy and Physiology,Martini,Frederic,
115,947,86.2,The Wretched of the Earth,Fanon,Frantz,1925-1961
116,943,86.1,Fundamentals of Physics,Halliday,David,1916
117,942,86,Ulysses,Joyce,James,1882-1941
118,939,85.9,A Modest Proposal,Swift,Jonathan,1667-1745
119,935,85.7,Understanding Comics,McCloud,Scott,1960
120,934,85.6,Dracula,Stoker,Bram,1847-1912
121,932,85.5,Young Goodman Brown,Hawthorne,Nathaniel,1804-1864
122,930,85.4,Symposium,Plato,,
123,925,85.2,Bartleby,Melville,Herman,1819-1891
124,921,85.1,Death of a Salesman,Miller,Arthur,1915-2005
125,902,85,Neuromancer,Gibson,William,1948
126,900,84.8,The Oresteia,Aeschylus,,
127,896,84.7,Night,Wiesel,Elie,1928
128,888,84.6,The Second Sex,Beauvoir,Simone De,1908-1986
129,885,84.5,Oedipus Rex,Sophocles,,
130,877,84.3,Getting to Yes,Fisher,Roger,1922-2012
131,875,84.2,Leaves of Grass,Whitman,Walt,1819-1892
132,874,84.1,Maus,Spiegelman,Art,
133,868,83.9,Globalization and Its Discontents,Stiglitz,Joseph E.,
134,866,83.8,Civilization and Its Discontents,Freud,Sigmund,1856-1939
135,862,83.7,Discipline and Punish The Birth of the Prison,Foucault,Michel,1926-1984
136,858,83.6,My Last Duchess,Browning,Robert,1812-1889
137,857,83.4,Psychology,Brown,Roger,1925-1997
138,857,83.4,Midsummer N. Dream,Shakespeare,William,1564-1616
139,856,83.3,Romeo and Juliet,Shakespeare,William,1564-1616
140,852,83.2,The Bluest Eye,Morrison,Toni,
141,846,83.1,The House on Mango Street,Cisneros,Sandra,
142,844,82.9,Imagined Communities Reflections on the Origin and Spread of Nationalism,Anderson,Benedict R. O'G. (Benedict Richard O'Gorman),1936
143,841,82.8,Jane Eyre,Bronte,Charlotte,1816-1855
144,837,82.7,The Complete Works,Shakespeare,William,1564-1616
145,836,82.5,The Importance of Being Earnest,Wilde,Oscar,1854-1900
146,834,82.4,Writing and Reading,French,Michael P.,
147,833,82.3,Nature,Emerson,Ralph Waldo,1803-1882
148,831,82.2,The Bacchae,Euripides,,
149,830,82,Social Research Methods,Bryman,Alan,
150,829,81.9,Principles of Corporate Finance,Brealey,Richard A.,
151,827,81.8,Lyrical Ballads 1805,Wordsworth,William,1770-1850
152,827,81.8,The End of History,Fukuyama,Francis,
153,825,81.7,Film Art : An Introduction,Bordwell,David,
154,824,81.5,The Metaphysics,Aristotle,,
155,823,81.4,A Vindication of the Rights of Woman,Wollstonecraft,Mary,1759-1797
156,822,81.3,The Presentation of Self in Everyday Life,Goffman,Erving,
157,822,81.3,A Rose for Emily,Faulkner,William,1897-1962
158,817,81.1,The German Ideology,Marx,Karl,1818-1883
159,817,81.1,The Feminine Mystique,Friedan,Betty,
160,812,81,The Art of Public Speaking,Lucas,Stephen,
161,812,81,The Grapes of Wrath,Steinbeck,John,1902-1968
162,809,80.9,Case Study Research : Design and Methods,Yin,Robert K.,
163,804,80.8,Coming of Age in Mississippi,Moody,Anne,1940-2015
164,803,80.6,Faust,Goethe,Johann Wolfgang Von,1749-1832
165,803,80.6,The New University,Paul,F. T.,
166,801,80.5,Molecular Biology of the Cell,Alberts,Bruce,
167,801,80.5,Self Reliance,Emerson,Ralph Waldo,1803-1882
168,796,80.4,Songs of Innocence,Blake,William,1757-1827
169,791,80.3,An Essay Concerning Human Understanding,Locke,John,1632-1704
170,790,80.1,Robinson,Defoe,Daniel,1661?-1731
171,787,80,Art History,Stokstad,Marilyn,1929
172,786,79.9,A Portrait of the Artist as a Young Man,Joyce,James,1882-1941
173,785,79.7,Introduction to Algorithms,Cormen,Thomas H.,
174,783,79.6,Hard Times,Dickens,Charles,1812-1870
175,779,79.5,Ceremony,Silko,Leslie,1948
176,779,79.5,Robinson Crusoe,Defoe,Daniel,1661?-1731
177,772,79.4,Physical Chemistry,Atkins,P. W. (Peter William),1940
178,771,79.2,Waiting for Godot,Beckett,Samuel,1906-1989
179,770,79.1,The Rights of Woman,Wollstonecraft,Mary,1759-1797
180,767,79,Chemistry,Chang,Raymond,
181,766,78.9,Mythologies,Barthes,Roland,
182,766,78.9,Research Design : Qualitative & Quantitative Approaches,Creswell,John W.,
183,765,78.7,The Practice of Social Research,Babbie,Earl R.,
184,756,78.6,The Decameron,Boccaccio,Giovanni,1313-1375
185,755,78.5,Reflections on the Revolution in France,Burke,Edmund,1729-1797
186,755,78.5,Phaedo,Plato,,
187,749,78.3,Economics,Taylor,John B.,
188,748,78.2,Dubliners,Joyce,James,1882-1941
189,748,78.2,Agamemnon,Aeschylus,,
190,747,78.1,Contemporary Literature,English,Thomas H.,
191,737,78,Nietzsche,Heidegger,Martin,1889-1976
192,737,78,America : A Narrative History,Tindall,George Brown,
193,737,78,Management and Organisational Behaviour,Mullins,Laurie J.,
194,733,77.8,The Lexus and the Olive Tree,Friedman,Thomas L.,
195,729,77.7,The Genealogy of Morals,Nietzsche,Friedrich Wilhelm,1844-1900
196,727,77.6,The Design of Everyday Things,Norman,Donald A.,
197,725,77.5,Rules for Writers,Hacker,Diana,1942-2004
198,724,77.3,American History,James,James Alton,1864-1962
199,723,77.2,Jihad vs. McWorld,Barber,Benjamin R.,1939
200,723,77.2,Madame Bovary,Flaubert,Gustave,1821-1880
201,720,77.1,Theogony,Hesiod,,
202,715,76.9,Phaedrus,Plato,,
203,714,76.8,The Catcher in the Rye,Salinger,J. D. (Jerome David),1919-2010
204,708,76.7,The Interpretation of Dreams,Freud,Sigmund,1856-1939
205,705,76.6,Advanced Engineering Mathematics,Kreyszig,Erwin,
206,705,76.6,The Picture of Dorian Gray,Wilde,Oscar,1854-1900
207,704,76.4,The Culture Industry,Adorno,T. W.,
208,702,76.3,The Souls of Black Folk,Du Bois,W. E. B. (William Edward Burghardt),1868-1963
209,701,76.2,All Quiet on the Western Front,Remarque,Erich Maria,1898-1970
210,700,76.1,Critical Thinking Skills : Developing Effective Analysis and Argument,Cottrell,Stella,
211,699,75.9,Investments,Bodie,Zvi,
212,698,75.8,Critique of Pure Reason,Kant,Immanuel,1724-1804
213,697,75.7,Mein Kampf,Hitler,Adolf,1889-1945
214,696,75.5,Everyday Use,Walker,Alice,1944
215,691,75.4,A Raisin in the Sun,Hansberry,Lorraine,1930-1965
216,691,75.4,The Lottery,Jackson,Shirley,1916-1965
217,690,75.3,Twelfth Night,Shakespeare,William,1564-1616
218,688,75.2,Gorgias,Plato,,
219,688,75.2,A Pocket Guide to Writing in History,Rampolla,Mary Lynn,
220,688,75.2,Fundamentals of Database Systems,Elmasri,Ramez,
221,686,75,The Turn of the Screw,James,Henry,1843-1916
222,686,75,A Streetcar Named Desire,Williams,Tennessee,1911-1983
223,684,74.9,The Rape of the Lock,Pope,Alexander,1688-1744
224,682,74.8,Organizational Behavior,Robbins,Stephen P.,1943
225,676,74.6,The Histories,Herodotus,,
226,676,74.6,Understanding Media,McLuhan,Marshall,1911-1980
227,676,74.6,Oroonoko,Behn,Aphra,1640-1689
228,674,74.5,Intermediate Accounting,Kieso,Donald E.,
229,673,74.4,Emotional Intelligence,Goleman,Daniel,
230,672,74.3,To His Coy Mistress,Marvell,Andrew,1621-1678
231,671,74.1,History,Herodotus,,
232,670,74,The Great Transformation,Polanyi,Karl,1886-1964
233,667,73.9,Manifesto of the Communist Party,Marx,Karl,1818-1883
234,666,73.8,An Enquiry Concerning Human Understanding,Hume,David,1711-1776
235,663,73.6,The Gettysburg Address,Lincoln,Abraham,1809-1865
236,660,73.5,World War II,Time,Inc. Library,
237,658,73.4,Nationalism,Gellner,Ernest,
238,657,73.2,The Art of War,Tzu,Sun,
239,656,73.1,Emma,Austen,Jane,1775-1817
240,656,73.1,The Color Purple,Walker,Alice,1944
241,655,73,History of the Peloponnesian War,Thucydides,,
242,651,72.9,Hypertext 2.0,Landow,George P.,
243,649,72.7,Options: Futures and Other Derivatives,Hull,John,1946
244,647,72.6,The Craft of Research,Booth,Wayne C.,
245,646,72.5,Management,Drucker,Peter F. (Peter Ferdinand),1909-2005
246,646,72.5,Sociology,Giddens,Anthony,
247,645,72.4,Black and White,Brown,Stephanie,
248,644,72.2,Wide Sargasso Sea,Rhys,Jean,
249,643,72.1,Chemistry: the Central Science,Brown,Theodore L. (Theodore Lawrence),1928
250,642,72,Bartleby the Scrivener,Melville,Herman,1819-1891
251,639,71.8,On the Road,Kerouac,Jack,1922-1969
252,638,71.7,Notes on the State of Virginia,Jefferson,Thomas,1743-1826
253,636,71.6,Dr. Jekyll and Mr. Hyde,Stevenson,Robert Louis,1850-1894
254,634,71.5,Operating System Concepts,Silberschatz,Abraham,
255,633,71.3,To Kill a Mockingbird,Lee,Harper,
256,633,71.3,The Language of New Media,Manovich,Lev,
257,632,71.2,White Noise,DeLillo,Don,
258,627,71.1,The Death and Life of Great American Cities,Jacobs,Jane,1916-2006
259,626,71,The Merchant of Venice,Shakespeare,William,1564-1616
260,625,70.8,The Clouds,Aristophanes,,
261,624,70.7,The Good Research Guide : For Small-Scale Social Research Projects,Denscombe,Martyn,
262,623,70.6,The General Prologue,Chaucer,Geoffrey,-1400
263,622,70.4,Pragmatism,James,William,1842-1910
264,621,70.3,The Apology and Crito,Plato,,
265,619,70.2,The Subjection of Women,Mill,John Stuart,1806-1873
266,618,70.1,Physics,Cutnell,John D.,
267,618,70.1,Nickel and Dimed : On (Not) Getting by in America,Ehrenreich,Barbara,
268,617,69.9,Trifles,Glaspell,Susan,1876-1948
269,617,69.9,Lais,Marie,De France,Active 12th Century
270,615,69.8,Culture and Imperialism,Said,Edward W.,
271,613,69.7,Auschwitz,Levi,Steven C.,
272,613,69.7,Animal Farm,Orwell,George,1903-1950
273,612,69.6,The Glass Menagerie,Williams,Tennessee,1911-1983
274,611,69.4,Rajiv,Gandhi,Sonia,1946
275,611,69.4,The Stranger,Camus,Albert,1913-1960
276,610,69.3,Globalization,Held,David,
277,609,69.2,Discrete Mathematics and Its Applications,Rosen,Kenneth H.,
278,608,69,Principles of Anatomy and Physiology,Tortora,Gerard J.,
279,605,68.9,War and the World: 1450-2000,Black,Jeremy,
280,605,68.9,Native Son,Wright,Richard,1908-1960
281,605,68.9,The C Programming Language,Kernighan,Brian W.,
282,603,68.8,The Crying of Lot 49,Pynchon,Thomas,
283,601,68.7,Macroeconomics,Blanchard,Olivier (Olivier J.),
284,601,68.7,The Crucible,Miller,Arthur,1915-2005
285,600,68.5,Songs of Experience,Blake,William,1757-1827
286,599,68.4,The Sun Also Rises,Hemingway,Ernest,1899-1961
287,598,68.3,Organic Chemistry,McMurry,John,
288,598,68.3,The Faerie Queene,Spenser,Edmund,1552?-1599
289,598,68.3,Conceptual Physics,Hewitt,Paul G.,
290,596,68.2,The Fugue,Bach,Johann Sebastian,1685-1750
291,595,68,Summa Theologica,Thomas,Aquinas,1225?-1274
292,594,67.9,Music : An Appreciation,Kamien,Roger,
293,594,67.9,Dover Beach,Arnold,Matthew,
294,590,67.8,The Federalist Papers,Hamilton,Alexander,1757-1804
295,589,67.6,The Evolution of Cooperation,Axelrod,Robert M.,
296,589,67.6,Leading Change,Kotter,John P.,1947
297,586,67.5,Suicide,Durkheim,Émile,1858-1917
298,585,67.4,The Unconscious,Freud,Sigmund,1856-1939
299,585,67.4,The Language Instinct,Pinker,Steven,1954
300,585,67.4,Fundamentals of Physics,Walker,Jearl,1945
301,582,67.3,Fall of the House of Usher,Poe,Edgar Allan,1809-1849
302,580,67.1,Econometric Analysis,Greene,William H.,1951
303,580,67.1,Principles of Marketing,Kotler,Philip,
304,575,67,Ezra Pound,Eliot,T. S. (Thomas Stearns),1888-1965
305,573,66.9,Works & Days,Hesiod,,
306,572,66.8,Republic,Book X,Plato,
307,571,66.6,Diary,Pepys,Samuel,1633-1703
308,570,66.5,Of Plymouth Plantation,Bradford,William,1588-1657
309,570,66.5,Passing,Larsen,Nella,
310,569,66.4,Empire,Hardt,Michael,
311,569,66.4,How to Research,Blaxter,Loraine,1945
312,568,66.2,On the Origin of Species,Darwin,Charles,1809-1882
313,568,66.2,The Descent of Man,Darwin,Charles,1809-1882
314,564,66.1,Data and Computer Communications,Stallings,William,
315,564,66.1,Song of Solomon,Morrison,Toni,
316,563,66,The Sound and the Fury,Faulkner,William,1897-1962
317,560,65.9,Java : How to Program,Deitel,Paul J.,
318,556,65.7,Capitalism and Freedom,Friedman,Milton,1912-2006
319,556,65.7,Modern Operating Systems,Tanenbaum,Andrew S.,1944
320,555,65.6,On War,Clausewitz,Carl Von,1780-1831
321,555,65.6,Billy Budd,Melville,Herman,1819-1891
322,555,65.6,The Rime of the Ancient Mariner,Coleridge,Samuel Taylor,1772-1834
323,553,65.5,The Elementary Forms of Religious Life,Durkheim,Émile,1858-1917
324,552,65.4,Iliad Odyssey,Homer,,
325,551,65.2,The Physics,Aristotle,,
326,549,65.1,Daisy Miller,James,Henry,1843-1916
327,549,65.1,The Ancient Mariner,Coleridge,Samuel Taylor,1772-1834
328,548,65,Songs of Innocence and Experience,Blake,William,1757-1827
329,547,64.8,The Selfish Gene,Dawkins,Richard,1941
330,546,64.7,A Passage to India,Forster,E. M. (Edward Morgan),1879-1970
331,545,64.6,The Year's Work in Modern Language Studies,Lennie,Sylvia,16th Century
332,545,64.6,Middlemarch,Eliot,George,1819-1880
333,545,64.6,The Norton Anthology of English Literature,Abrams,M. H. (Meyer Howard),1912- Ed
334,544,64.5,Lolita,Nabokov,Vladimir Vladimirovich,1899-1977
335,544,64.5,The Frontier in American History,Turner,Frederick Jackson,1861-1932
336,543,64.3,On Marx,Engels,Friedrich,1820-1895
337,543,64.3,Postmodernism: Or the Cultural Logic of Late Capitalism,Jameson,Fredric,
338,542,64.2,Five Dialogues,Plato,,
339,541,64.1,A Glossary of Literary Terms,Abrams,M. H. (Meyer Howard),1912
340,540,63.9,Sula,Morrison,Toni,
341,538,63.8,Metaphors We Live By,Lakoff,George,
342,537,63.7,Nations and Nationalism,Gellner,Ernest,
343,536,63.6,On Photography,Sontag,Susan,1933-2004
344,536,63.6,Bowling Alone : The Collapse and Revival of American Community,Putnam,Robert D.,
345,535,63.4,Symphony No. 2,Beethoven,Ludwig Van,1770-1827
346,535,63.4,Ode on a Grecian Urn,Keats,John,1795-1821
347,535,63.4,International Economics : Theory and Policy,Krugman,Paul R.,
348,533,63.3,A Discourse on Inequality,Rousseau,Jean-Jacques,1712-1778
349,533,63.3,As I Lay Dying,Faulkner,William,1897-1962
350,531,63.2,The Problem of Social Cost,Coase,R. H.,
351,530,63.1,Sherlock Holmes,Doyle,Sir Arthur Conan,1859-1930
352,529,62.9,The Everyday Writer,Lunsford,Andrea A.,1942
353,528,62.8,Archaeology in the U.S.S.R,Field,Henry,1902-1986
354,528,62.8,Economics,Stiglitz,Joseph E.,
355,527,62.7,Research Design Qualitative Quantitative and Mixed Methods Approaches,Creswell,John W.,
356,527,62.7,Psychology : Themes and Variations,Weiten,Wayne,1950
357,523,62.5,Theory of International Politics,Waltz,Kenneth Neal,1924
358,523,62.5,The Power Elite,Mills,C. Wright (Charles Wright),1916-1962
359,521,62.4,Philosophical Investigations,Wittgenstein,Ludwig,1889-1951
360,520,62.3,Perpetual Peace,Kant,Immanuel,1724-1804
361,519,62.2,Looking Backward 2000-1887,Bellamy,Edward,1850-1898
362,519,62.2,The Lord of the Rings,Tolkien,J. R. R. (John Ronald Reuel),1892-1973
363,518,62,The Visual Display of Quantitative Information,Tufte,Edward R.,1942
364,518,62,The Discourses,Machiavelli,Niccolò,1469-1527
365,518,62,Basic Econometrics,Gujarati,Damodar N.,
366,517,61.9,Lord of the Flies,Golding,William,1911-1993
367,516,61.8,The Time Machine,Wells,H. G. (Herbert George),1866-1946
368,516,61.8,Principles of Microeconomics,Mankiw,N. Gregory,
369,515,61.7,Beyond Good and Evil,Nietzsche,Friedrich Wilhelm,1844-1900
370,514,61.5,A Christmas Carol,Dickens,Charles,1812-1870
371,511,61.4,Gender Trouble : Feminism and the Subversion of Identity,Butler,Judith,1956
372,509,61.3,Java,Deitel,Paul J.,
373,507,61.1,World War I,Keegan,Susanne,
374,506,61,Benito Cereno,Melville,Herman,1819-1891
375,506,61,Rights of Man,Paine,Thomas,1737-1809
376,505,60.9,The Mismeasure of Man,Gould,Stephen Jay,
377,504,60.8,Digital Image Processing,Gonzalez,Rafael C.,
378,503,60.6,Leadership : Theory and Practice,Northouse,Peter Guy,
379,502,60.5,Principles of Biochemistry,Lehninger,Albert L.,
380,502,60.5,The House of Mirth,Wharton,Edith,1862-1937
381,501,60.4,Oliver Twist,Dickens,Charles,1812-1870
382,501,60.4,Social Psychology,Myers,David G.,
383,501,60.4,Good to Great,Collins,James C. (James Charles),1958
384,501,60.4,The Rise of the Network Society,Castells,Manuel,1942
385,500,60.3,Julius Caesar,Shakespeare,William,1564-1616
386,500,60.3,Principles of Economics,Mankiw,N. Gregory,
387,499,60.1,Capitalism Socialism and Democracy,Schumpeter,Joseph Alois,1883-1950
388,498,60,Physics for Scientists and Engineers,Serway,Raymond A.,
389,498,60,The Elements of Moral Philosophy,Rachels,James,1941-2003
390,498,60,The Prelude 1798-1799,Wordsworth,William,1770-1850
391,497,59.9,Real Estate,Case,Frederick E.,
392,497,59.9,The Canterbury Tales: Prologue,Chaucer,Geoffrey,-1400
393,495,59.7,Institutions Institutional Change and Economic Performance,North,Douglass Cecil,
394,491,59.6,Microeconomics,Pindyck,Robert S.,
395,491,59.6,Rip Van Winkle,Irving,Washington,1783-1859
396,491,59.6,Waiting for the Barbarians,Coetzee,J. M.,1940
397,489,59.5,Being Digital,Negroponte,Nicholas,
398,485,59.4,On Population,Malthus,T. R. (Thomas Robert),1766-1834
399,485,59.4,The Varieties of Religious Experience,James,William,1842-1910
400,485,59.4,Annals,Tacitus,Cornelius,
401,484,59.2,Literary Theory An Introduction,Eagleton,Terry,1943
402,484,59.2,Black Skin White Masks,Fanon,Frantz,1925-1961
403,483,59.1,The Raven,Poe,Edgar Allan,1809-1849
404,481,59,Anarchy State and Utopia,Nozick,Robert,
405,481,59,Preface to Lyrical Ballads,Wordsworth,William,1770-1850
406,479,58.9,Jane Eyre,Brontë,Charlotte,1816-1855
407,479,58.9,Getting to Yes : Negotiating Agreement Without Giving In,Fisher,Roger,1922-2012
408,478,58.7,Goblin Market,Rossetti,Christina Georgina,1830-1894
409,478,58.7,Doing a Literature Review : Releasing the Social Science Research Imagination,Hart,Chris,
410,477,58.6,The Significance of the Frontier in American History,Turner,Frederick Jackson,1861-1932
411,476,58.5,Odes,Horace,,
412,476,58.5,The Theban Plays,Sophocles,,
413,476,58.5,Society of the Spectacle,Debord,Guy,1931
414,476,58.5,The Little Brown Handbook,Fowler,H. Ramsey (Henry Ramsey),
415,475,58.3,The Open Boat,Crane,Stephen,1871-1900
416,475,58.3,Northanger Abbey,Austen,Jane,1775-1817
417,475,58.3,The McDonaldization of Society 5,Ritzer,George,
418,474,58.2,Managerial Accounting,Garrison,Ray H.,
419,473,58.1,The Birth of Tragedy,Nietzsche,Friedrich Wilhelm,1844-1900
420,472,58,Utilitarianism,Bentham,Jeremy,1748-1832
421,471,57.8,The Making of the English Working Class,Thompson,E. P. (Edward Palmer),1924-1993
422,470,57.7,Envisioning Information,Tufte,Edward R.,1942
423,469,57.6,The God of Small Things,Roy,Arundhati,
424,469,57.6,Database Management Systems,Ramakrishnan,Raghu,
425,469,57.6,The Consolation of Philosophy,Boethius,,-524
426,468,57.5,The American Scholar,Emerson,Ralph Waldo,1803-1882
427,468,57.5,Body Ritual Among the Nacirema,Miner,Horace,
428,468,57.5,Computer Networks : A Systems Approach,Peterson,Larry L.,
429,467,57.3,When Work Disappears,Wilson,William Julius,
430,467,57.3,Quantitative Chemical Analysis,Harris,Daniel C.,1948
431,466,57.2,Little Women,Alcott,Louisa May,1832-1888
432,463,57.1,Ragtime,Doctorow,E. L.,1931-2015
433,463,57.1,The Location of Culture,Bhabha,Homi K.,1949
434,462,56.9,The Practice of Everyday Life,Certeau,Michel De,
435,461,56.8,Sinners in the Hands of an Angry God,Edwards,Jonathan,1703-1758
436,461,56.8,The Messiah,Handel,George Frideric,1685-1759
437,459,56.7,Biology of Microorganisms,Brock,Thomas D.,
438,458,56.6,Paradise Lost : Book I,Milton,John,1608-1674
439,457,56.4,Research Methods in Education,Cohen,Louis,1928
440,457,56.4,Diffusion of Innovations,Rogers,Everett M.,
441,456,56.3,The Art of Electronics,Horowitz,Paul,1942
442,456,56.3,Doctor Faustus,Marlowe,Christopher,1564-1593
443,455,56.2,Phenomenology of Perception,Merleau-Ponty,Maurice,1908-1961
444,455,56.2,Cry the Beloved Country,Paton,Alan,
445,454,56.1,Biochemistry,Stryer,Lubert,
