New Rank,Count,Text,Nationality,Coordinates,Date
55,1454,Bartleby the Scrivener,United States,"37.09024,-95.712891",1819-01-01
56,1447,Adventures of Huckleberry Finn,United States,"37.09024,-95.712891",1835-01-01
57,1440,On the Genealogy of Morals,Germany,"51.165691,10.451526",1844-01-01
58,1432,The Awakening,United States,"37.09024,-95.712891",1850-01-01
59,1388,Heart of Darkness,United Kingdom,"55.378051,-3.435973",1857-01-01
60,1384,The Yellow Wallpaper,United States,"37.09024,-95.712891",1860-01-01
61,1376,The Protestant Ethic and the Spirit of Capitalism,Germany,"51.165691,10.451526",1864-01-01
62,1371,The Elements of Style,United States,"37.09024,-95.712891",1869-01-01
63,1350,Mrs. Dalloway,United Kingdom,"55.378051,-3.435973",1882-01-01
64,1347,The Rite of Spring,Russia,"61.52401,105.318756",1882-01-01
65,1308,The Love Song of J. Alfred Prufrock,United Kingdom,"55.378051,-3.435973",1888-01-01
66,1293,Their Eyes Were Watching God,United States,"37.09024,-95.712891",1891-01-01
67,1293,A Manual for Writers of Term Papers Theses and Dissertations,United States,"37.09024,-95.712891",1893-01-01
68,1293,Brave New World,United Kingdom,"55.378051,-3.435973",1894-01-01
69,1291,The Great Gatsby,United States,"37.09024,-95.712891",1896-01-01
70,1288,Existentialism and Humanism,France,"46.227638,2.213749",1905-01-01
71,1262,Invisible Man,United States,"37.09024,-95.712891",1914-01-01
72,1259,The Tragedy of the Commons,United States,"37.09024,-95.712891",1915-01-01
73,1248,Fundamentals of Physics,United States,"37.09024,-95.712891",1916-01-01
74,1241,A Theory of Justice,United States,"37.09024,-95.712891",1921-01-01
75,1229,The Structure of Scientific Revolutions,United States,"37.09024,-95.712891",1922-01-01
76,1210,The White House,United States,"37.09024,-95.712891",1925-01-01
77,1207,Nations and Nationalism,United Kingdom,"55.378051,-3.435973",1925-01-01
78,1202,Ways of Seeing,United Kingdom,"55.378051,-3.435973",1926-01-01
79,1199,Power,France,"46.227638,2.213749",1926-01-01
80,1195,The History of Sexuality,France,"46.227638,2.213749",1926-01-01
81,1182,The Clash of Civilizations,United States,"37.09024,-95.712891",1927-01-01
82,1181,Letter From the Birmingham Jail,United States,"37.09024,-95.712891",1929-01-01
83,1171,Things Fall Apart,Nigeria,"9.081999,8.675277",1930-01-01
84,1170,Beloved,United States,"37.09024,-95.712891",1931-01-01
85,1170,Orientalism,Palestine,"31.952162,35.233154",1935-01-01
86,1162,Human Anatomy & Physiology,United States,"37.09024,-95.712891",1936-01-01
87,1152,Calculus Early Transcendentals,Canada,"56.130366,-106.346771",1941-01-01
88,1141,MLA Handbook for Writers of Research Papers,United States,"37.09024,-95.712891",1942-01-01
89,1128,A Pocket Style Manual,United States,"37.09024,-95.712891",1942-01-01
90,1117,The Bedford Handbook,United States,"37.09024,-95.712891",1942-01-01
91,1114,Computer Networks,United States,"37.09024,-95.712891",1944-01-01
92,1105,C How to Program,United States,"37.09024,-95.712891",1945-01-01
93,1102,Biology,United States,"37.09024,-95.712891",1946-01-01
94,1099,Physics,United States,"37.09024,-95.712891",1950-01-01
95,1092,The End of History and the Last Man,United States,"37.09024,-95.712891",1952-01-01
96,1089,Principles of Macroeconomics,United States,"37.09024,-95.712891",1958-01-01
97,1088,Methods in Behavioral Research,United States,"37.09024,-95.712891",
98,1081,Research Design Qualitative & Quantitative Approaches,United States,"37.09024,-95.712891",
99,1064,Project Evaluation,United States,"37.09024,-95.712891",
100,1064,Economics,United States,"37.09024,-95.712891",
