
The Declaration of Independence,Jefferson,Thomas,1743-1826
Candide,Voltaire,1694-1778
The Peloponnesian War,Thucydides
Democracy in America,De Tocqueville,Alexis,Mansfield,Harvey C.,Winthrop,Delba
New England Review (1990-),A Theory of Justice
Rawls,John,1921-2002,Henry V
Shakespeare,William,1564-1616,Oedipus the King
Sophocles,Existentialism
Sartre,Jean Paul,1905-1980,Project Evaluation
Due,Jean M.,African Studies Review
Metamorphoses,Ovid,43 B.C.-17 A.D. Or 18 A.D
Ways of Seeing,Berger,John
Invisible Man,Ellison,Ralph
Meditations on First Philosophy,Descartes,René,1596-1650
The White House,Bush,Barbara
History News,Pride & Prejudice
Austen,Jane,1775-1817,Their Eyes Were Watching God
Hurston,Zora Neale,Medea
Euripides,Human Anatomy & Physiology
Marieb,Elaine Nicpon,1936,Crito
Plato,Macbeth
Shakespeare,William,1564-1616,Brave New World
Huxley,Aldous,1894-1963,Othello
Shakespeare,William,1564-1616,Physics
Halliday,David,1916,Common Sense
Paine,Thomas,The Analects
Confucius,Physics
Walker,James S.,1950,The Love Song of J. Alfred Prufrock
Eliot,T. S. (Thomas Stearns),1888-1965,The Protestant Ethic and the Spirit of Capitalism
Weber,Max,1864-1920,Calculus : Early Transcendentals
Stewart,James,1941,Human Anatomy
Marieb,Elaine Nicpon,1936,Economics
Krugman,Paul R.,Mrs. Dalloway
Woolf,Virginia,1882-1941,Computer Networks
Tanenbaum,Andrew S.,1944,Discourse on Method
Descartes,René,1596-1650,The Sociological Imagination
Mills,C. Wright (Charles Wright),1916-1962,The Metamorphosis
Kafka,Franz,1883-1924,Second Treatise of Government
Locke,John,1632-1704,Marketing Management
Kotler,Philip,The Metaphysics of Morals
Kant,Immanuel,1724-1804,Doing Your Research Project : A Guide for First-Time Researchers in Education and Social Science
Bell,Judith,1930,Silent Spring
Carson,Rachel,1907-1964,Adventures of Huckleberry Finn
Twain,Mark,1835-1910,The Scarlet Letter
Hawthorne,Nathaniel,1804-1864,Pedagogy of the Oppressed
Freire,Paulo,1921-1997,King Lear
Shakespeare,William,1564-1616,Artificial Intelligence : A Modern Approach
Russell,Stuart J. (Stuart Jonathan),Moby Dick
Melville,Herman,1819-1891,I Have a Dream
King,Martin Luther,Jr.,1929-1968,Macroeconomics
Mankiw,N. Gregory,The Waste Land
Eliot,T. S. (Thomas Stearns),1888-1965,Corporate Finance
Ross,Stephen A.,To the Lighthouse
Woolf,Virginia,1882-1941,Euthyphro
Plato,Lysistrata
Aristophanes,Civil Disobedience
Thoreau,Henry David,1817-1862. Aut,Rhetoric
Aristotle,Great Expectations
Dickens,Charles,1812-1870,The Jungle
Sinclair,Upton,1878-1968,Fundamentals of Anatomy and Physiology
Martini,Frederic,The Wretched of the Earth
Fanon,Frantz,1925-1961,Fundamentals of Physics
Halliday,David,1916,Ulysses
Joyce,James,1882-1941,A Modest Proposal
Swift,Jonathan,1667-1745,Understanding Comics
McCloud,Scott,1960,Dracula
Stoker,Bram,1847-1912,Young Goodman Brown
Hawthorne,Nathaniel,1804-1864,Symposium
Plato,Bartleby
Melville,Herman,1819-1891,Death of a Salesman
Miller,Arthur,1915-2005,Neuromancer
Gibson,William,1948,The Oresteia
Aeschylus,Night
Wiesel,Elie,1928,The Second Sex
Beauvoir,Simone De,1908-1986,Oedipus Rex
Sophocles,Getting to Yes
Fisher,Roger,1922-2012,Leaves of Grass
Whitman,Walt,1819-1892,Maus
Spiegelman,Art,Globalization and Its Discontents
Stiglitz,Joseph E.,Civilization and Its Discontents
Freud,Sigmund,1856-1939,Discipline and Punish : The Birth of the Prison
Foucault,Michel,1926-1984,My Last Duchess
Browning,Robert,1812-1889,Psychology
Brown,Roger,1925-1997,Midsummer N. Dream
Shakespeare,William,1564-1616,Romeo and Juliet
Shakespeare,William,1564-1616,The Bluest Eye
Morrison,Toni,The House on Mango Street
Cisneros,Sandra,Imagined Communities : Reflections on the Origin and Spread of Nationalism
Anderson,Benedict R. O'G. (Benedict Richard O'Gorman),1936,Jane Eyre
Bronte,Charlotte,1816-1855,The Complete Works
Shakespeare,William,1564-1616,The Importance of Being Earnest
Wilde,Oscar,1854-1900,Writing and Reading
French,Michael P.,Danielson,Kathy Everts,Conn,Maureen,Gale,Willa,Lueck,Charlene,Manley,Mona,The Reading Teacher
Nature,Emerson,Ralph Waldo,1803-1882
The Bacchae,Euripides
Social Research Methods,Bryman,Alan
Principles of Corporate FinanceBrealey,Richard A.
Lyrical Ballads 1805,Wordsworth,William,1770-1850
The End of History,Fukuyama,Francis
The National Interest,Film Art : An Introduction
Bordwell,David,The Metaphysics
Aristotle,A Vindication of the Rights of Woman
Wollstonecraft,Mary,1759-1797,The Presentation of Self in Everyday Life
Goffman,Erving,A Rose for Emily
Faulkner,William,1897-1962,The German Ideology
Marx,Karl,1818-1883,The Feminine Mystique
Friedan,Betty,The Art of Public Speaking
Lucas,Stephen,The Grapes of Wrath
Steinbeck,John,1902-1968,Case Study Research : Design and Methods
Yin,Robert K.,Coming of Age in Mississippi
Moody,Anne,1940-2015,Faust
Goethe,Johann Wolfgang Von,1749-1832,The New University
Paul,F. T.,The British Medical Journal
Molecular Biology of the Cell,Alberts,Bruce,Author
Self Reliance,Emerson,Ralph Waldo,1803-1882
Songs of Innocence,Blake,William,1757-1827
An Essay Concerning Human Understanding,Locke,John,1632-1704
Robinson,Defoe,Daniel,1661?-1731
Art History,Stokstad,Marilyn,1929
A Portrait of the Artist as a Young Man,Joyce,James,1882-1941
Introduction to AlgorithmsCormen,Thomas H.
Hard Times,Dickens,Charles,1812-1870
Ceremony,Silko,Leslie,1948
Robinson Crusoe,Defoe,Daniel,1661?-1731
Physical Chemistry,Atkins,P. W. (Peter William),1940
Waiting for Godot,Beckett,Samuel,1906-1989
The Rights of Woman,Wollstonecraft,Mary,1759-1797
Chemistry,Chang,Raymond
Mythologies,Barthes,Roland
Research Design : Qualitative & Quantitative ApproachesCreswell,John W.
The Practice of Social ResearchBabbie,Earl R.
The Decameron,Boccaccio,Giovanni,1313-1375
Reflections on the Revolution in France,Burke,Edmund,1729-1797
Phaedo,Plato
EconomicsTaylor,John B.
Dubliners,Joyce,James,1882-1941
Agamemnon,Aeschylus
Contemporary LiteratureEnglish,Thomas H.
South Atlantic Bulletin,Nietzsche
Heidegger,Martin,1889-1976,America : A Narrative History
Tindall,George Brown,Management and Organisational Behaviour
Mullins,Laurie J.,The Lexus and the Olive Tree
Friedman,Thomas L.,The Genealogy of Morals
Nietzsche,Friedrich Wilhelm,1844-1900,The Design of Everyday Things
Norman,Donald A.,Rules for Writers
Hacker,Diana,1942-2004,American History
James,James Alton,1864-1962,Jihad vs. McWorld
Barber,Benjamin R.,1939,Madame Bovary
Flaubert,Gustave,1821-1880,Theogony
Hesiod,Phaedrus
Plato,The Catcher in the Rye
Salinger,J. D. (Jerome David),1919-2010,The Interpretation of Dreams
Freud,Sigmund,1856-1939,Advanced Engineering Mathematics
Kreyszig,Erwin,The Picture of Dorian Gray
Wilde,Oscar,1854-1900,The Culture Industry
Adorno,T. W.,Cook,Rafael,Cinéaste
The Souls of Black Folk,Du Bois,W. E. B. (William Edward Burghardt),1868-1963
All Quiet on the Western Front,Remarque,Erich Maria,1898-1970
Critical Thinking Skills : Developing Effective Analysis and Argument,Cottrell,Stella
Investments,Bodie,Zvi
Critique of Pure Reason,Kant,Immanuel,1724-1804
Mein Kampf,Hitler,Adolf,1889-1945,Author
Everyday Use,Walker,Alice,1944
A Raisin in the Sun,Hansberry,Lorraine,1930-1965
The Lottery,Jackson,Shirley,1916-1965
Twelfth Night,Shakespeare,William,1564-1616
Gorgias,Plato
A Pocket Guide to Writing in History,Rampolla,Mary Lynn
Fundamentals of Database Systems,Elmasri,Ramez
The Turn of the Screw,James,Henry,1843-1916
A Streetcar Named Desire,Williams,Tennessee,1911-1983
The Rape of the Lock,Pope,Alexander,1688-1744
Organizational Behavior,Robbins,Stephen P.,1943
The Histories,Herodotus
Understanding Media,McLuhan,Marshall,1911-1980
Oroonoko,Behn,Aphra,1640-1689
Intermediate AccountingKieso,Donald E.
Emotional Intelligence,Goleman,Daniel
To His Coy Mistress,Marvell,Andrew,1621-1678
History,Herodotus
The Great Transformation,Polanyi,Karl,1886-1964
Manifesto of the Communist Party,Marx,Karl,1818-1883
An Enquiry Concerning Human Understanding,Hume,David,1711-1776
The Gettysburg Address,Lincoln,Abraham,1809-1865
World War II,Time,Inc. Library
Nationalism,Gellner,Ernest
The Art of War,Tzu,Sun,Minford,John
New England Review (1990-),Emma
Austen,Jane,1775-1817,The Color Purple
Walker,Alice,1944,History of the Peloponnesian War
Thucydides,Hypertext 2.0
Landow,George P.,Options,Futures,and Other Derivatives
Hull,John,1946,The Craft of Research
Booth,Wayne C.,Management
Drucker,Peter F. (Peter Ferdinand),1909-2005,Sociology
Giddens,Anthony,Black and White
Brown,Stephanie,The American Poetry Review
Wide Sargasso Sea,Rhys,Jean
Chemistry,the Central Science,Brown,Theodore L. (Theodore Lawrence),1928
Bartleby,the Scrivener,Melville,Herman,1819-1891
On the Road,Kerouac,Jack,1922-1969
Notes on the State of Virginia,Jefferson,Thomas,1743-1826
Dr. Jekyll and Mr. Hyde,Stevenson,Robert Louis,1850-1894
Operating System Concepts,Silberschatz,Abraham
To Kill a Mockingbird,Lee,Harper
The Language of New Media,Manovich,Lev
White Noise,DeLillo,Don
The Death and Life of Great American Cities,Jacobs,Jane,1916-2006
The Merchant of Venice,Shakespeare,William,1564-1616
The Clouds,Aristophanes
The Good Research Guide : For Small-Scale Social Research Projects,Denscombe,Martyn
The General Prologue,Chaucer,Geoffrey,-1400
Pragmatism,James,William,1842-1910
The Apology and Crito,Plato
The Subjection of Women,Mill,John Stuart,1806-1873
PhysicsCutnell,John D.
Nickel and Dimed : On (Not) Getting by in America,Ehrenreich,Barbara
Trifles,Glaspell,Susan,1876-1948
Lais,Marie,De France,Active 12th Century
Culture and ImperialismSaid,Edward W.
AuschwitzLevi,Steven C.
European Judaism: A Journal for the New Europe,Animal Farm
Orwell,George,1903-1950,The Glass Menagerie
Williams,Tennessee,1911-1983,Rajiv
Gandhi,Sonia,1946,The Stranger
Camus,Albert,1913-1960,Globalization
Held,David,McGrew,Anthony,Goldblatt,David,Perraton,Jonathan,Global Governance
Discrete Mathematics and Its ApplicationsRosen,Kenneth H.
Principles of Anatomy and PhysiologyTortora,Gerard J.
War and the World,1450-2000,Black,Jeremy
The Journal of Military History,Native Son
Wright,Richard,1908-1960,The C Programming Language
Kernighan,Brian W.,The Crying of Lot 49
Pynchon,Thomas,Macroeconomics
Blanchard,Olivier (Olivier J.),The Crucible
Miller,Arthur,1915-2005,Songs of Experience
Blake,William,1757-1827,The Sun Also Rises
Hemingway,Ernest,1899-1961,Organic Chemistry
McMurry,John,The Faerie Queene,1596
Spenser,Edmund,1552?-1599,Conceptual Physics
Hewitt,Paul G.,The Fugue
Bach,Johann Sebastian,1685-1750,Summa Theologica
Thomas,Aquinas,Saint,1225?-1274,Music : An Appreciation
Kamien,Roger,Dover Beach
Arnold,Matthew,The English Journal
The Federalist Papers,Hamilton,Alexander,1757-1804
The Evolution of CooperationAxelrod,Robert M.
Leading Change,Kotter,John P.,1947
Suicide,Durkheim,Émile,1858-1917
The Unconscious,Freud,Sigmund,1856-1939
The Language Instinct,Pinker,Steven,1954
Fundamentals of Physics,Walker,Jearl,1945
Fall of the House of Usher,Poe,Edgar Allan,1809-1849
Econometric Analysis,Greene,William H.,1951
Principles of Marketing,Kotler,Philip
Ezra Pound,Eliot,T. S. (Thomas Stearns),1888-1965
Works & Days,Hesiod
Republic,Book X,Plato
Diary,Pepys,Samuel,1633-1703
Of Plymouth Plantation,1620-1647,Bradford,William,1588-1657
Passing,Larsen,Nella
Empire,Hardt,Michael
How to Research,Blaxter,Loraine,1945
On the Origin of Species,Darwin,Charles,1809-1882
The Descent of Man,Darwin,Charles,1809-1882
Data and Computer Communications,Stallings,William
Song of Solomon,Morrison,Toni
The Sound and the Fury,Faulkner,William,1897-1962
Java : How to ProgramDeitel,Paul J.
Capitalism and Freedom,Friedman,Milton,1912-2006
Modern Operating Systems,Tanenbaum,Andrew S.,1944
On War,Clausewitz,Carl Von,1780-1831
Billy Budd,Melville,Herman,1819-1891
The Rime of the Ancient Mariner,Coleridge,Samuel Taylor,1772-1834
The Elementary Forms of Religious Life,Durkheim,Émile,1858-1917
Iliad Odyssey,Homer
The Physics,Aristotle
Daisy Miller,James,Henry,1843-1916
The Ancient Mariner,Coleridge,Samuel Taylor,1772-1834
Songs of Innocence and Experience,Blake,William,1757-1827
The Selfish Gene,Dawkins,Richard,1941
A Passage to India,Forster,E. M. (Edward Morgan),1879-1970
The Sixteenth Century,England,Sylvia Lennie
The Year's Work in Modern Language Studies,Middlemarch
Eliot,George,1819-1880,The Norton Anthology of English Literature
Abrams,M. H. (Meyer Howard),1912- Ed,Lolita
Nabokov,Vladimir Vladimirovich,1899-1977,The Frontier in American History
Turner,Frederick Jackson,1861-1932,On Marx
Engels,Friedrich,1820-1895,Postmodernism,Or,the Cultural Logic of Late Capitalism
Jameson,Fredric,Five Dialogues
Plato,A Glossary of Literary Terms
Abrams,M. H. (Meyer Howard),1912,Sula
Morrison,Toni,Metaphors We Live By
Lakoff,George,Nations and Nationalism
Gellner,Ernest,On Photography
Sontag,Susan,1933-2004,Bowling Alone : The Collapse and Revival of American Community
Putnam,Robert D.,Symphony No. 2
Beethoven,Ludwig Van,1770-1827,Ode on a Grecian Urn
Keats,John,1795-1821,International Economics : Theory and Policy
Krugman,Paul R.,A Discourse on Inequality
Rousseau,Jean-Jacques,1712-1778,As I Lay Dying
Faulkner,William,1897-1962,The Problem of Social Cost
Coase,R. H.,Journal of Law and Economics
Sherlock Holmes,Doyle,Arthur Conan,Sir,1859-1930
The Everyday Writer,Lunsford,Andrea A.,1942
Archaeology in the U.S.S.R,Field,Henry,1902-1986
EconomicsStiglitz,Joseph E.
Research Design : Qualitative,Quantitative,and Mixed Methods ApproachesCreswell,John W.
Psychology : Themes and Variations,Weiten,Wayne,1950
Theory of International Politics,Waltz,Kenneth Neal,1924
The Power Elite,Mills,C. Wright (Charles Wright),1916-1962
Philosophical Investigations,Wittgenstein,Ludwig,1889-1951
Perpetual Peace,Kant,Immanuel,1724-1804
Looking Backward,2000-1887,Bellamy,Edward,1850-1898
The Lord of the Rings,Tolkien,J. R. R. (John Ronald Reuel),1892-1973
The Visual Display of Quantitative Information,Tufte,Edward R.,1942
The Discourses,Machiavelli,Niccolò,1469-1527
Basic EconometricsGujarati,Damodar N.
Lord of the Flies,Golding,William,1911-1993
The Time Machine,Wells,H. G. (Herbert George),1866-1946
Principles of Microeconomics,Mankiw,N. Gregory
Beyond Good and Evil,Nietzsche,Friedrich Wilhelm,1844-1900
A Christmas Carol,Dickens,Charles,1812-1870
Gender Trouble : Feminism and the Subversion of Identity,Butler,Judith,1956
JavaDeitel,Paul J.
World War I,Keegan,Susanne
Benito Cereno,Melville,Herman,1819-1891
Rights of Man,Paine,Thomas,1737-1809
The Mismeasure of Man,Gould,Stephen Jay
Digital Image ProcessingGonzalez,Rafael C.
Leadership : Theory and Practice,Northouse,Peter Guy
Principles of BiochemistryLehninger,Albert L.
The House of Mirth,Wharton,Edith,1862-1937
Oliver Twist,Dickens,Charles,1812-1870
Social PsychologyMyers,David G.
Good to Great,Collins,James C. (James Charles),1958
The Rise of the Network Society,Castells,Manuel,1942
Julius Caesar,Shakespeare,William,1564-1616
Principles of Economics,Mankiw,N. Gregory
Capitalism,Socialism,and Democracy,Schumpeter,Joseph Alois,1883-1950
Physics for Scientists and EngineersSerway,Raymond A.
The Elements of Moral Philosophy,Rachels,James,1941-2003
The Prelude,1798-1799,Wordsworth,William,1770-1850
Real EstateCase,Frederick E.
The Canterbury Tales: Prologue,Chaucer,Geoffrey,-1400
Institutions,Institutional Change and Economic Performance,North,Douglass Cecil
MicroeconomicsPindyck,Robert S.
Rip Van Winkle,Irving,Washington,1783-1859
Waiting for the Barbarians,Coetzee,J. M.,1940
Being Digital,Negroponte,Nicholas
On Population,Malthus,T. R. (Thomas Robert),1766-1834
The Varieties of Religious Experience,James,William,1842-1910
Annals,Tacitus,Cornelius
Literary Theory : An Introduction,Eagleton,Terry,1943
Black Skin,White Masks,Fanon,Frantz,1925-1961
The Raven,Poe,Edgar Allan,1809-1849
Anarchy,State,and Utopia,Nozick,Robert
Preface to Lyrical Ballads,Wordsworth,William,1770-1850
Jane Eyre,Brontë,Charlotte,1816-1855
Getting to Yes : Negotiating Agreement Without Giving In,Fisher,Roger,1922-2012
Goblin Market,Rossetti,Christina Georgina,1830-1894
Doing a Literature Review : Releasing the Social Science Research Imagination,Hart,Chris
The Significance of the Frontier in American History,Turner,Frederick Jackson,1861-1932
Odes,Horace
The Theban Plays,Sophocles
Society of the Spectacle,Debord,Guy,1931
The Little,Brown HandbookFowler,H. Ramsey (Henry Ramsey)
The Open Boat,Crane,Stephen,1871-1900
Northanger Abbey,Austen,Jane,1775-1817
The McDonaldization of Society 5,Ritzer,George
Managerial AccountingGarrison,Ray H.
The Birth of Tragedy,Nietzsche,Friedrich Wilhelm,1844-1900
Utilitarianism,Bentham,Jeremy,1748-1832
The Making of the English Working Class,Thompson,E. P. (Edward Palmer),1924-1993
Envisioning Information,Tufte,Edward R.,1942
The God of Small Things,Roy,Arundhati
Database Management Systems,Ramakrishnan,Raghu
The Consolation of Philosophy,Boethius,-524
The American Scholar,Emerson,Ralph Waldo,1803-1882
Body Ritual Among the Nacirema,Miner,Horace
American Anthropologist,Computer Networks : A Systems Approach
Peterson,Larry L.,When Work Disappears
Wilson,William Julius,Political Science Quarterly
Quantitative Chemical Analysis,Harris,Daniel C.,1948
Little Women,Alcott,Louisa May,1832-1888
Ragtime,Doctorow,E. L.,1931-2015
The Location of Culture,Bhabha,Homi K.,1949
The Practice of Everyday Life,Certeau,Michel De
Sinners in the Hands of an Angry God,Edwards,Jonathan,1703-1758
The Messiah,Handel,George Frideric,1685-1759
Biology of MicroorganismsBrock,Thomas D.
Paradise Lost : Book I,Milton,John,1608-1674
Research Methods in Education,Cohen,Louis,1928
Diffusion of InnovationsRogers,Everett M.
The Art of Electronics,Horowitz,Paul,1942
Doctor Faustus,Marlowe,Christopher,1564-1593
Phenomenology of Perception,Merleau-Ponty,Maurice,1908-1961
Cry,the Beloved Country,Paton,Alan
Biochemistry,Stryer,Lubert
Guns,Germs,and Steel : The Fates of Human SocietiesDiamond,Jared M.
A Short Guide to Writing About Film,Corrigan,Timothy
Kubla Khan,Coleridge,Samuel Taylor,1772-1834
Sister Carrie,Dreiser,Theodore,1871-1945
Illuminations,Benjamin,Walter,1892-1940
The Joy Luck Club,Tan,Amy
The Cask of Amontillado,Poe,Edgar Allan,1809-1849
A Treatise of Human Nature,Hume,David,1711-1776
UNIX Network Programming,Stevens,W. Richard
The Road to Serfdom,Hayek,Friedrich A. Von (Friedrich August),1899-1992
Henry IV,Shakespeare,William,1564-1616
The C++ Programming Language,Stroustrup,Bjarne
Institutional and Economic Change,North,Douglass Cecil
A Vindication of the Rights of Women,Wollstonecraft,Mary,1759-1797
Teacher Education,Young,Jay
The Science Teacher,An Essay on Man
Pope,Alexander,1688-1744,Selected Writings
Marx,Karl,1818-1883,Qualitative Evaluation Methods
Patton,Michael Quinn,A Short Guide to Writing About Art
Barnet,Sylvan,In Memoriam
Tennyson,Alfred Tennyson,Baron,1809-1892,I Know Why the Caged Bird Sings
Angelou,Maya,Discourse on Method ; And,Meditations
Descartes,René,1596-1650,A Tale of Two Cities
Dickens,Charles,1812-1870,Persuasion
Austen,Jane,1775-1817,Two Treatises of Government
Locke,John,1632-1704,Discovering Statistics Using R
Field,Andy P.A Dictionary of Music and Musicians (A.D. 1450-1889)
Grove,George,Sir,1820-1900,Ed,Style : Lessons in Clarity and Grace
Williams,Joseph M.,Sense and Sensibility
Austen,Jane,1775-1817,The Golden Ass
Apuleius,Life-Span Development
Santrock,John W.,Computer Graphics
Hearn,Donald,The Spirit of the Laws
Montesquieu,Charles De Secondat,Baron De,1689-1755,The Science of "Muddling Through
Lindblom,Charles E.,Public Administration Review
Foucault,Deleuze,Gilles,1925-1995
Simulations,Baudrillard,Jean,1929-2007
Fahrenheit 451,Bradbury,Ray,1920-2012
Computing Machinery and IntelligenceTuring,A. M.
Mind,Health
World Bank,Diplomacy
Kissinger,Henry,1923,Course in General Linguistics
Saussure,Ferdinand De,1857-1913,Being and Time
Heidegger,Martin,1889-1976,Advanced Macroeconomics
Romer,David,Tools for Teaching
Davis,Barbara Gross,Microeconomic Analysis
Varian,Hal R.,Pharmacology for Nursing Care
Lehne,Richard A.,1943,As You Like It
Shakespeare,William,1564-1616,Hippolytus
Euripides,East of Eden
Steinbeck,John,1902-1968,Biochemistry
Voet,Donald,Life on the Screen : Identity in the Age of the Internet
Turkle,Sherry,American Pastoral
Roth,Philip,Understanding by Design
Wiggins,Grant P.,1950,F. Chopin
Liszt,Franz,1811-1886,Do Androids Dream of Electric Sheep
Dick,Philip K.,Computer Architecture : A Quantitative Approach
Hennessy,John L.,Zen
Suzuki,Daisetz Teitaro,1870-1966,The Coming Anarchy
Kaplan,Robert D.,World Policy Journal
Attachment,Bowlby,John
Of Mice and Men,Steinbeck,John,1902-1968
The Red Badge of Courage,Crane,Stephen,1871-1900
Bleak House,Dickens,Charles,1812-1870
How to Lie With Statistics,Huff,Darrell
Internetworking With TCP/IP,Comer,Douglas
An Essay on Population,Malthus,T. R. (Thomas Robert),1766-1834
Angels in America,Kushner,Tony
The Theory of the Leisure Class,Veblen,Thorstein,1857-1929
How to Read a Paper : The Basics of Evidence-Based Medicine,Greenhalgh,Trisha
The Clash of Civilizations and the Remaking of World OrderHuntington,Samuel P.
Nervous Conditions,Dangarembga,Tsitsi
The Courtier,Castiglione,Baldassarre,Conte,1478-1529
Doing Qualitative Research : A Practical Handbook,Silverman,David
Justice as Fairness,Rawls,John
The Philosophical Review,The Soul of a New Machine
Kidder,Tracy,Theory and Practice of Counseling and Psychotherapy
Corey,Gerald,Organic Chemistry
Wade,L. G.,1947,Agendas,Alternatives,and Public Policies
Kingdon,John W.,North America
Read,Frederick,Mathers,F. F.,Morden,K. G.,Bentley,W. E.,Surveyer,Fabre,Runciman,J. P.,Summers,G. B.,Dunfield,Brian,Journal of Comparative Legislation and International Law
Qualitative Evaluation and Research Methods,Patton,Michael Quinn
Qualitative Research & Evaluation Methods,Patton,Michael Quinn
Database System ConceptsKorth,Henry F.
Pygmalion,Shaw,Bernard,1856-1950
David Copperfield,Dickens,Charles,1812-1870
Exploring Corporate Strategy,Johnson,Gerry
Existentialism and Humanism,Sartre,Jean Paul,1905-1980
Ozymandias,Shelley,Percy Bysshe,1792-1822
The McGraw-Hill HandbookMaimon,Elaine P.
Moll Flanders,Defoe,Daniel,1661?-1731
Computer Organization and Design : The Hardware/Software InterfacePatterson,David A.
The Return of Martin Guerre,Davis,Natalie Zemon,1928
The Hero With a Thousand Faces,Campbell,Joseph,1904-1987
Persepolis,Satrapi,Marjane,1969
The Meditations,Marcus Aurelius,Emperor of Rome,121-180
The Wisdom of Crowds,Surowiecki,James,1967
Biochemistry,Berg,Jeremy Mark
Prison Notebooks,Gramsci,Antonio,1891-1937
Hair,Hair,Long,Debbie
Off Our Backs,The Portrait of a Lady
James,Henry,1843-1916,Congress : The Electoral Connection
Mayhew,David R.,Monte Cristo
Dumas,Alexandre,1802-1870,Images of Organization
Morgan,Gareth,1943,Fundamental Methods of Mathematical Economics
Chiang,Alpha C.,1927,The Heart Is a Lonely Hunter
McCullers,Carson,1917-1967,The Moviegoer
Percy,Walker,1916-1990,Machine Learning
Mitchell,Tom M. (Tom Michael),1951,Alice in Wonderland
Carroll,Lewis,1832-1898,The Penguin Handbook
Faigley,Lester,1947,The Last of the Mohicans
Cooper,James Fenimore,1789-1851,The Rite of Spring
Stravinsky,Igor,1882-1971,Statistics for Management and Economics
Keller,Gerald,Herland
Gilman,Charlotte Perkins,1860-1935,The Known World
Jones,Edward P.,Phenomenology of Spirit
Hegel,Georg Wilhelm Friedrich,1770-1831,Latin America
Thomas,Jack Ray,Computer Networking : A Top-Down Approach
Kurose,James F.,Subculture,the Meaning of Style
Hebdige,Dick,Cane
Toomer,Jean,1894-1967,Ode to a Nightingale
Keats,John,1795-1821,The Negro Speaks of Rivers
Hughes,Langston,1902-1967,Amusing Ourselves to Death
Postman,Neil,ETC: A Review of General Semantics
Don Giovanni,Mozart,Wolfgang Amadeus,1756-1791
The Count of Monte-Cristo,Dumas,Alexandre,1802-1870
Introduction to the Theory of Computation,Sipser,Michael
Reading and Writing,Field,Rachel
ALA Bulletin,The Hobbit
Tolkien,J. R. R. (John Ronald Reuel),1892-1973,The Praise of Folly
Erasmus,Desiderius,-1536,Introductory Econometrics : A Modern Approach
Wooldridge,Jeffrey M.,1960,The Apology of Socrates
Plato,Diplomacy and Domestic Politics: The Logic of Two-Level Games
Putnam,Robert D.,International Organization
Dialectic of Enlightenment,Horkheimer,Max,1895-1973
Hiroshima,Hersey,John,1914-1993
A First Course in ProbabilityRoss,Sheldon M.
The Rite O' Spring,Stravinsky
ChemistryZumdahl,Steven S.
Rite,Stravinsky,Igor,1882-1971. Cmp
Optics,Hecht,Eugene
The Bell Jar,Plath,Sylvia
Famine,Affluence,and Morality,Singer,Peter
